name,company,year,Price,kms_driven,fuel_type
BMW Serie 3 320i Business Edition,BMW,2006,155000792,90000,Bensin
Hyundai Getz ,Hyundai,2005,56000000,5000,Bensin
Isuzu Grand touring ,Isuzu,2004,120000000,15000,Diesel
Isuzu Grand touring ,Isuzu,2010,169000000,105000,Diesel
Proton ,Proton,2010,120000000,80000,Bensin
Suzuki Ertiga ,Suzuki,2019,190000000,5000,Bensin
Mercedes-Benz SLK ,Mercedes-Benz,2005,420000000,45000,Bensin
Mercedes-Benz S-Class S300 L,Mercedes-Benz,2010,449000000,45000,Bensin
Aston Martin Vantage V8 S,Aston Martin,2018,6000000000,5000,Bensin
KIA Picanto SE,KIA,2014,90000000,20000,Bensin
Isuzu Grand touring ,Isuzu,2012,166000000,85000,Diesel
Honda HR-V 1.8L Prestige,Honda,2019,380000000,5000,Bensin
Smart Fortwo ,Smart,2010,205000000,65000,Hybrid
Mitsubishi Pajero Sport Exceed,Mitsubishi,2012,233000000,115000,Diesel
Land Rover Range Rover Evoque Dynamic Luxury Si4,Land Rover,2013,595000000,35000,Bensin
Mazda Biante 2.0 SKYACTIV,Mazda,2015,200000000,95000,Bensin
Daihatsu Xenia ,Daihatsu,2013,105000000,105000,Bensin
Chery,Chery,2015,72000000,10000,Bensin
Volkswagen Caravelle,Volkswagen,2000,89000000,95000,Bensin
Volkswagen Polo TSI 1.2,Volkswagen,2016,189000000,45000,Bensin
Timor DOHC ,Timor,1997,30000000,50000,Bensin
Toyota ,Toyota,2015,175000000,85000,Bensin
Mitsubishi L300 ,Mitsubishi,2016,125200000,55000,Diesel
Mitsubishi Xpander ULTIMATE A/T,Mitsubishi,2018,230000000,15000,Bensin
Peugeot 206 Sporty,Peugeot,2003,47000000,45000,Bensin
Lexus RX 270,Lexus,2011,360000000,80000,Bensin
Mercedes-Benz C-Class C250,Mercedes-Benz,2014,485000000,5000,Bensin
Mercedes-Benz E-Class E250,Mercedes-Benz,2013,795000000,10000,Bensin
Mitsubishi Outlander ,Mitsubishi,2014,189000000,35000,Bensin
Audi Audi A3 Sportback,Audi,2002,97000000,100000,Bensin
Honda Freed S,Honda,2012,129000000,95000,Bensin
Mercedes-Benz E-Class E260,Mercedes-Benz,2004,95000000,105000,Bensin
Peugeot 405,Peugeot,1996,28000000,155000,Bensin
Isuzu Panther,Isuzu,1997,53000000,185000,Diesel
Toyota Rush S,Toyota,2013,135000000,100000,Bensin
Hyundai Accent GLS,Hyundai,2006,50000000,100000,Bensin
Mitsubishi Lancer Evolution 2.0 Evolution 3,Mitsubishi,1986,36000000,260000,Bensin
Toyota Soluna Gli,Toyota,2000,54000000,155000,Bensin
Isuzu ,Isuzu,2010,140000000,25000,Diesel
Toyota Innova G,Toyota,2012,185000000,80000,Diesel
Volkswagen Polo TSI 1.2,Volkswagen,2017,198000000,20000,Bensin
Hyundai New Tucson ,Hyundai,2012,157000000,65000,Bensin
Nissan X-Trail ,Nissan,2006,83000000,160000,Bensin
Mitsubishi Xpander EXCEED M/T,Mitsubishi,2018,205000000,5000,Bensin
Mazda RX-8 Sport,Mazda,2010,249000000,70000,Bensin
Jeep Jeep ,Jeep,2001,65000000,30000,Bensin
Honda CR-V 2.4 i-VTEC,Honda,2008,126000000,75000,Bensin
Honda Jazz ,Honda,2005,80000000,20000,Bensin
Honda Jazz RS,Honda,2016,140000000,10000,Bensin
Porsche 911 ,Porsche,2016,2775000000,15000,Bensin
Nissan Grand livina ,Nissan,2010,95000000,135000,Bensin
Suzuki Ertiga GL,Suzuki,2013,112000000,95000,Bensin
Daihatsu Sigra 1.2 R,Daihatsu,2017,119000000,15000,Bensin
Mazda 8 ,Mazda,2002,60000000,155000,Bensin
Suzuki Ertiga Dreza,Suzuki,2017,175000000,20000,Bensin
Nissan Grand livina ,Nissan,2014,112000000,55000,Bensin
Citroen BX ,Citroen,1991,19000000,105000,Bensin
Datsun Cross ,Datsun,2018,108000000,10000,Bensin
Lexus 430 ,Lexus,2005,227000000,75000,Bensin
Daihatsu Gran max ,Daihatsu,2014,93500000,55000,Bensin
Suzuki Wagon R GX,Suzuki,2017,85000000,35000,Bensin
Isuzu Panther Grand Touring,Isuzu,2002,105000000,90000,Bensin
Honda HR-V E CVT,Honda,2017,252000000,25000,Bensin
Hyundai Avega GL,Hyundai,2010,61500000,100000,Bensin
Honda HR-V 1.8L Prestige,Honda,2016,265000000,35000,Bensin
Datsun Go+ Panca T Style,Datsun,2016,82000000,25000,Bensin
Daihatsu Terios TS,Daihatsu,2012,112000000,55000,Bensin
Geely Panda ,Geely,2011,30000000,25000,Bensin
Mazda 2 GT,Mazda,2014,175000000,55000,Bensin
Mazda 2 RZ,Mazda,2013,130000000,60000,Bensin
KIA Sorento ,KIA,2013,190000000,70000,Bensin
Dodge ,Dodge,1986,150000000,45000,Bensin
Nissan Evalia XV,Nissan,2012,100000000,80000,Bensin
KIA Picanto SE,KIA,2011,72000000,75000,Bensin
Mini Cooper Mini Cooper ,Mini Cooper,2013,420000000,50000,Bensin
Daihatsu Xenia R 1.3 STD,Daihatsu,2018,143000000,35000,Bensin
Chevrolet Captiva ,Chevrolet,2010,125000000,12500,Bensin
Mercedes-Benz GLA-Class GLA200,Mercedes-Benz,2017,609000000,15000,Bensin
Nissan Serena HWS,Nissan,2011,97000000,75000,Bensin
Isuzu Panther LV,Isuzu,2007,107000000,225000,Diesel
Mazda Biante ,Mazda,2013,190000000,50000,Bensin
Suzuki Carry RV. Gx,Suzuki,2006,47000000,185000,Bensin
Daihatsu Terios TX,Daihatsu,2013,115000000,105000,Bensin
BMW ,BMW,2000,130000000,130000,Bensin
Nissan Serena HWS,Nissan,2014,169000000,75000,Bensin
Honda Freed E,Honda,2012,168000000,65000,Bensin
Daihatsu Xenia R 1.3 STD,Daihatsu,2016,137000000,35000,Bensin
Honda Freed E,Honda,2010,119000000,100000,Bensin
Mitsubishi Xpander ULTIMATE A/T,Mitsubishi,2018,228000000,10000,Bensin
Mazda CX-5 Grand Touring,Mazda,2013,210000000,100000,Bensin
Lamborghini Gallardo  ,Lamborghini,2013,3100000000,15000,Bensin
Mitsubishi Pajero Sport Dakar 2.4,Mitsubishi,2016,425000000,45000,Diesel
BMW Serie 3 320i,BMW,2015,388000000,45000,Bensin
Chevrolet Captiva ,Chevrolet,2008,115000000,95000,Bensin
Jaguar XJ Portfolio L,Jaguar,1996,295000000,70000,Bensin
BMW X1 sDrive18i,BMW,2017,525000000,20000,Bensin
Mazda ,Mazda,2013,145000000,50000,Bensin
Mazda Biante ,Mazda,2012,230000000,35000,Bensin
Datsun Go+ Panca T Ultimate,Datsun,2017,99000000,25000,Bensin
Fiat Abart ,Fiat,2017,1200000000,5000,Bensin
Datsun Go Panca T Active,Datsun,2017,82999975,40000,Bensin
Chevrolet Trax LTZ,Chevrolet,2018,235000000,25000,Hybrid
Mitsubishi Xpander ULTIMATE A/T,Mitsubishi,2018,235000000,20000,Bensin
Mercedes-Benz E-Class E250,Mercedes-Benz,2017,995000000,10000,Bensin
Isuzu Panther LM,Isuzu,2003,78500000,115000,Diesel
Chevrolet Aveo LT,Chevrolet,2014,110000000,65000,Bensin
Mitsubishi Xpander ULTIMATE A/T,Mitsubishi,2019,267100000,20000,Bensin
Honda Brio ,Honda,2019,145500000,5000,Bensin
Suzuki Ertiga GL,Suzuki,2013,150000000,20000,Bensin
Mazda Biante ,Mazda,2012,179000000,75000,Bensin
Nissan Teana 250 XV,Nissan,2010,148000000,75000,Bensin
Land Rover Discovery Sport HSE Si4,Land Rover,2015,1650000000,5000,Bensin
KIA Picanto A/T Option,KIA,2008,66000000,115000,Bensin
Nissan Grand livina ,Nissan,2010,96000000,85000,Bensin
Mazda Biante ,Mazda,2013,199000000,95000,Bensin
