,name,company,year,Price,kms_driven,fuel_type
0,BMW Serie 3,BMW,2006,155000792,90000,Bensin
1,Hyundai Getz,Hyundai,2005,56000000,5000,Bensin
2,Isuzu Grand touring,Isuzu,2004,120000000,15000,Diesel
3,Isuzu Grand touring,Isuzu,2010,169000000,105000,Diesel
4,Proton,Proton,2010,120000000,80000,Bensin
5,Suzuki Ertiga,Suzuki,2019,190000000,5000,Bensin
6,Mercedes-Benz SLK,Mercedes-Benz,2005,420000000,45000,Bensin
7,Mercedes-Benz S-Class S300,Mercedes-Benz,2010,449000000,45000,Bensin
8,Aston Martin Vantage,Aston Martin,2018,6000000000,5000,Bensin
9,KIA Picanto SE,KIA,2014,90000000,20000,Bensin
10,Isuzu Grand touring,Isuzu,2012,166000000,85000,Diesel
11,Honda HR-V 1.8L,Honda,2019,380000000,5000,Bensin
12,Smart Fortwo,Smart,2010,205000000,65000,Hybrid
13,Mitsubishi Pajero Sport,Mitsubishi,2012,233000000,115000,Diesel
14,Land Rover Range,Land Rover,2013,595000000,35000,Bensin
15,Mazda Biante 2.0,Mazda,2015,200000000,95000,Bensin
16,Daihatsu Xenia,Daihatsu,2013,105000000,105000,Bensin
17,Chery,Chery,2015,72000000,10000,Bensin
18,Volkswagen Caravelle,Volkswagen,2000,89000000,95000,Bensin
19,Volkswagen Polo TSI,Volkswagen,2016,189000000,45000,Bensin
20,Timor DOHC,Timor,1997,30000000,50000,Bensin
21,Toyota,Toyota,2015,175000000,85000,Bensin
22,Mitsubishi L300,Mitsubishi,2016,125200000,55000,Diesel
23,Mitsubishi Xpander ULTIMATE,Mitsubishi,2018,230000000,15000,Bensin
24,Peugeot 206 Sporty,Peugeot,2003,47000000,45000,Bensin
25,Lexus RX 270,Lexus,2011,360000000,80000,Bensin
26,Mercedes-Benz C-Class C250,Mercedes-Benz,2014,485000000,5000,Bensin
27,Mercedes-Benz E-Class E250,Mercedes-Benz,2013,795000000,10000,Bensin
28,Mitsubishi Outlander,Mitsubishi,2014,189000000,35000,Bensin
29,Audi Audi A3,Audi,2002,97000000,100000,Bensin
30,Honda Freed S,Honda,2012,129000000,95000,Bensin
31,Mercedes-Benz E-Class E260,Mercedes-Benz,2004,95000000,105000,Bensin
32,Peugeot 405,Peugeot,1996,28000000,155000,Bensin
33,Isuzu Panther,Isuzu,1997,53000000,185000,Diesel
34,Toyota Rush S,Toyota,2013,135000000,100000,Bensin
35,Hyundai Accent GLS,Hyundai,2006,50000000,100000,Bensin
36,Mitsubishi Lancer Evolution,Mitsubishi,1986,36000000,260000,Bensin
37,Toyota Soluna Gli,Toyota,2000,54000000,155000,Bensin
38,Isuzu,Isuzu,2010,140000000,25000,Diesel
39,Toyota Innova G,Toyota,2012,185000000,80000,Diesel
40,Volkswagen Polo TSI,Volkswagen,2017,198000000,20000,Bensin
41,Hyundai New Tucson,Hyundai,2012,157000000,65000,Bensin
42,Nissan X-Trail,Nissan,2006,83000000,160000,Bensin
43,Mitsubishi Xpander EXCEED,Mitsubishi,2018,205000000,5000,Bensin
44,Mazda RX-8 Sport,Mazda,2010,249000000,70000,Bensin
45,Jeep Jeep,Jeep,2001,65000000,30000,Bensin
46,Honda CR-V 2.4,Honda,2008,126000000,75000,Bensin
47,Honda Jazz,Honda,2005,80000000,20000,Bensin
48,Honda Jazz RS,Honda,2016,140000000,10000,Bensin
49,Porsche 911,Porsche,2016,2775000000,15000,Bensin
50,Nissan Grand livina,Nissan,2010,95000000,135000,Bensin
51,Suzuki Ertiga GL,Suzuki,2013,112000000,95000,Bensin
52,Daihatsu Sigra 1.2,Daihatsu,2017,119000000,15000,Bensin
53,Mazda 8,Mazda,2002,60000000,155000,Bensin
54,Suzuki Ertiga Dreza,Suzuki,2017,175000000,20000,Bensin
55,Nissan Grand livina,Nissan,2014,112000000,55000,Bensin
56,Citroen BX,Citroen,1991,19000000,105000,Bensin
57,Datsun Cross,Datsun,2018,108000000,10000,Bensin
58,Lexus 430,Lexus,2005,227000000,75000,Bensin
59,Daihatsu Gran max,Daihatsu,2014,93500000,55000,Bensin
60,Suzuki Wagon R,Suzuki,2017,85000000,35000,Bensin
61,Isuzu Panther Grand,Isuzu,2002,105000000,90000,Bensin
62,Honda HR-V E,Honda,2017,252000000,25000,Bensin
63,Hyundai Avega GL,Hyundai,2010,61500000,100000,Bensin
64,Honda HR-V 1.8L,Honda,2016,265000000,35000,Bensin
65,Datsun Go+ Panca,Datsun,2016,82000000,25000,Bensin
66,Daihatsu Terios TS,Daihatsu,2012,112000000,55000,Bensin
67,Geely Panda,Geely,2011,30000000,25000,Bensin
68,Mazda 2 GT,Mazda,2014,175000000,55000,Bensin
69,Mazda 2 RZ,Mazda,2013,130000000,60000,Bensin
70,KIA Sorento,KIA,2013,190000000,70000,Bensin
71,Dodge,Dodge,1986,150000000,45000,Bensin
72,Nissan Evalia XV,Nissan,2012,100000000,80000,Bensin
